PIDM,ERM_INITIAL_SCORE,ERM_CURRENT_SCORE,ERM_SCORE
2076213,46,46,15
2076760,42,42,10
2076768,75,75,40
2077045,49,56,15
2078056,42,61,10
2078680,56,56,30
2078934,71,71,40
2079716,73,73,40
2081148,73,73,40
2081239,72,75,40
2081242,74,74,40
2081423,65,65,40
2081614,72,74,40
2081707,72,76,40
2082100,55,55,30
2082403,70,70,40
2082863,53,53,25
2083171,58,62,30
2083189,65,65,40
2083740,47,80,30
2083909,58,65,30
2083953,62,62,30
2083955,56,56,30
2084186,68,68,40
2084246,51,61,15
2084248,56,56,30
2084249,45,66,15
2084353,61,61,30
2084442,56,68,30
2084487,53,53,25
2084494,66,66,40
2084947,62,62,30
2085199,68,68,40
2085222,53,53,25
2085415,34,34,10
2085419,57,57,30
2085457,53,68,25
2085750,62,100,40
2086070,52,100,40
2086119,72,74,40
2086319,56,56,30
2086333,47,47,15
2086335,56,56,30
2086341,63,71,30
2086452,72,72,40
2086674,56,56,30
2086908,70,100,40
2086961,65,65,40
2087050,63,63,30
2087058,66,66,40
2087250,65,65,40
2087263,64,100,40
2087303,72,72,40
2087306,61,61,30
2087373,46,46,15
2087516,71,71,40
2087543,69,69,40
2087553,58,58,30
2088189,60,98,40
2088483,58,58,30
2088769,64,64,30
2088868,44,100,25
2088871,75,75,40
2088880,68,71,40
2088952,65,67,40
2089242,66,80,40
2089849,46,61,15
2089988,74,74,40
2090154,56,56,30
2090197,53,67,25
2090201,63,99,40
2090203,53,53,25
2090205,58,58,30
2090214,44,44,10
2090391,56,56,30
2090430,43,43,10
2090529,39,47,10
2090556,31,59,10
2090679,63,97,40
2090697,51,null,15
2090707,52,70,25
2090780,64,64,30
2090804,70,100,40
2090888,64,99,40
2091881,62,62,30
2091883,72,72,40
2092280,58,58,30
2092700,58,58,30
2092737,64,69,30
2092752,73,73,40
2092896,47,47,15
2092924,71,71,40
2093136,54,58,25
2093187,66,66,40
2093237,41,41,10
2093381,68,68,40
2093575,65,100,40
2093873,69,69,40
2094168,41,41,10
2094232,53,53,25
2094253,68,68,40
2094377,57,null,30
2094467,56,56,30
2094564,66,71,40
2094779,56,56,30
2094907,65,72,40
2094986,63,63,30
2095340,71,71,40
2095776,57,97,40
2095778,62,62,30
2095784,54,73,25
2095789,45,45,15
2095805,58,67,30
2095838,65,65,40
2095850,60,60,30
2095858,64,64,30
2095859,60,60,30
2095885,68,68,40
2095899,46,46,15
2095905,32,100,25
2095915,51,51,15
2095937,64,97,40
2096363,73,73,40
2096396,53,100,40
2096990,75,75,40
2097016,49,49,15
2097204,69,69,40
2097673,57,97,40
2098346,71,71,40
2098504,74,74,40
2098525,73,73,40
2098575,55,55,30
2098577,58,100,40
2098586,41,41,10
2098597,61,61,30
2098812,63,63,30
2098844,55,55,30
2098885,51,64,15
2099050,48,null,15
2099764,62,62,30
2099807,73,91,40
2099814,71,71,40
2099930,51,51,15
2099963,66,66,40
2100033,58,58,30
2100114,46,46,15
2100131,74,74,40
2100154,66,66,40
2100218,58,58,30
2100317,52,91,30
2100490,69,69,40
2100495,65,95,40
2100788,59,59,30
2101650,68,100,40
2101656,57,57,30
2101977,49,49,15
2102183,56,56,30
2102344,49,49,15
2102388,71,71,40
2102398,58,58,30
2102427,47,100,30
2102468,71,null,40
2102470,66,66,40
2102570,55,55,30
2102665,54,54,25
2102718,59,100,40
2102917,65,null,40
2103086,47,64,15
2103100,63,97,40
2103158,65,65,40
2103220,48,48,15
2103246,49,65,15
2103289,49,49,15
2103298,49,78,30
2103306,49,64,15
2103355,52,52,25
2103670,45,45,15
2104012,53,53,25
2104544,54,69,25
2104794,59,59,30
2104806,62,62,30
2104833,71,71,40
2104845,52,52,25
2104849,66,66,40
2104883,66,66,40
2105010,60,60,30
2105103,63,63,30
2105174,42,42,10
2105276,73,93,40
2105358,44,44,10
2106002,70,70,40
2106102,66,100,40
2106211,63,97,40
2106232,70,70,40
2106237,51,51,15
2106323,64,97,40
2106333,58,58,30
2106337,35,100,25
2106362,35,35,10
2106365,63,63,30
2106446,53,53,25
2106498,64,64,30
2106533,48,48,15
2106689,56,98,40
2106865,72,72,40
2107033,68,68,40
2107049,61,100,40
2107063,59,59,30
2107092,71,100,40
2107146,43,43,10
2107295,55,62,30
2107325,65,65,40
2107938,64,64,30
2107966,54,54,25
2108024,47,80,30
2108174,39,53,10
2108216,41,41,10
2108217,49,49,15
2108330,48,48,15
2108541,47,47,15
2108764,70,70,40
2108822,69,90,40
2108976,75,75,40
2109097,75,100,40
2109109,47,73,25
2109218,68,68,40
2110672,75,75,40
2110682,68,68,40
2110683,59,99,40
2110686,47,80,30
2111078,58,58,30
2111103,49,84,30
2111626,56,97,40
2111651,37,37,10
2111673,66,66,40
2111682,70,82,40
2111761,52,81,30
2111831,62,62,30
2112048,54,54,25
2112073,68,69,40
2112154,43,43,10
2112156,65,65,40
2112158,65,65,40
2112209,43,100,25
2112268,64,64,30
2112272,59,100,40
2112274,69,100,40
2112411,74,100,40
2112473,61,61,30
2112479,56,56,30
2112487,53,53,25
2112494,47,76,25
2112682,63,63,30
2112723,49,49,15
2112760,69,69,40
2112792,47,47,15
2113192,63,63,30
2113298,64,64,30
2113402,48,48,15
2113693,62,null,30
2113820,46,46,15
2113844,69,71,40
2113922,66,67,40
2114043,70,70,40
2114075,74,100,40
2114307,65,65,40
2114348,58,64,30
2114490,61,61,30
2114624,45,74,25
2114636,55,55,30
2114642,66,73,40
2114700,51,51,15
2114734,68,68,40
2114856,60,74,30
2114869,71,75,40
2115002,49,49,15
2115022,52,null,25
2115244,48,48,15
2115267,56,73,30
2115402,60,100,40
2115468,43,54,10
2115996,39,47,10
2116005,48,48,15
2116007,39,39,10
2116052,66,66,40
2116055,59,59,30
2116070,49,49,15
2116173,60,60,30
2116177,42,42,10
2116222,57,57,30
2116226,59,59,30
2116262,65,65,40
2116455,47,99,30
2116501,40,40,10
2116677,60,60,30
2116910,56,56,30
2116911,54,54,25
2116974,52,52,25
2117051,51,51,15
2117055,54,100,40
2117056,69,69,40
2117267,46,74,25
2117349,56,56,30
2117356,73,100,40
2117572,75,75,40
2118469,71,71,40
2119132,69,69,40
2119149,69,69,40
2119287,34,34,10
2119297,40,40,10
2119564,57,57,30
2119612,73,73,40
