Unnamed: 0,PIDM,term_code,gid,admit_term,degree.x,major_code,college.x,major.x,stu_type,stu_level.x,high_school_grad_year,high_school_grad_month,hs_gpa,sat_total,sat_new_readwrit,sat_new_math,act_composite,act_eng,act_math,gid_tests,test_date,activity_date,test_code,test_score,gid_hsmath,hsmath_course,hsmath_grade,gid_courses,term,student_campus,event,campus_code,course_number,section_number,subj_code,section_type,credit_levl,course_credits,reg_status,grade,grade_category,course_number_updated,course_level,PIDM_course_number_term,ERM_SCORE
85758,2424278,202370,-3177349,202370.0,Bachelor of Science,CSIN,College of Engineering,Computer Science,N,UG,2023.0,6.0,3.9,,,,,,,-3177349,2023-06-16 01:33:22,2023-06-16 01:33:22,ZCMP,450.064,,,,-3177349,202370,MZZ,202370EOT,Z,171Q,92,M,L,UG,4,RE,B,Successful,171Q,500,2424278_171Q_202370,40.0
85762,2424315,202370,-3177373,202370.0,Bachelor of Science,BUFN,College of Business,Business,T,UG,,,,,,,,,,-3177373,2023-08-15 01:31:50,2023-08-15 01:31:50,ZCMP,400.032,,,,-3177373,202370,MZZ,202370EOT,Z,161Q,1,M,L,UG,4,RE,B,Successful,161Q,400,2424315_161Q_202370,40.0
85764,2424352,202330,-3177410,202330.0,Bachelor of Science,BUFN,College of Business,Business,N,UG,2022.0,6.0,3.0,,,,,,,-3177410,2023-01-04 01:32:08,2023-01-04 01:32:08,ZCMP,300.032,,,,-3177410,202330,MZZ,202330EOT,Z,121Q,5,M,L,UG,3,RW,F,Unsuccessful,121Q,300,2424352_121Q_202330,30.0
85765,2424361,202370,-3177419,202370.0,Bachelor of Science,BUFN,College of Business,Business,N,UG,2023.0,6.0,3.1,,,,,,,-3177419,2023-06-16 01:33:22,2023-06-16 01:33:22,ZCMP,150.032,-3177419.0,HSM50,D,-3177419,202370,MZZ,202370EOT,ZGC,090,911,M,L,UG,4,RE,F*,Unsuccessful,Combo2,100,2424361_090_202370,15.0
85766,2424393,202370,-3177451,202370.0,Bachelor of Science,GENG,College of Engineering,General Engineering,N,UG,2023.0,5.0,3.96,1400.0,730.0,670.0,29.0,25.0,28.0,-3177451,2023-02-08 01:39:14,2023-02-08 01:39:14,ZCMP,500.001,-3177451.0,HSM50,B,-3177451,202370,MZZ,202370EOT,Z,171Q,2,M,L,UG,4,RE,A,Successful,171Q,500,2424393_171Q_202370,
85774,2424433,202350,-3177490,202350.0,Bachelor of Science,BUMK,College of Business,Business,N,UG,2023.0,5.0,3.8,,,,21.0,16.0,23.0,-3177490,2023-07-26 01:31:23,2023-07-26 01:31:23,ZCMP,300.001,,,,-3177490,202370,MZZ,202370EOT,Z,161Q,16,M,L,UG,4,RW,A,Successful,161Q,400,2424433_161Q_202370,
85775,2424437,202370,-3177494,202370.0,Bachelor of Science,PNUR,College of Nursing,Pre-Nursing,N,UG,,,3.29,,,,,,,-3177494,2023-06-07 01:32:23,2023-06-07 01:32:23,ZCMP,300.032,,,,-3177494,202370,MZZ,202370EOT,Z,121Q,4,M,L,UG,3,W,W,Unsuccessful,121Q,300,2424437_121Q_202370,30.0
85776,2424452,202370,-3177509,202370.0,Bachelor of Science,CSIN,College of Engineering,Computer Science,N,UG,2023.0,6.0,4.35,,,,25.0,23.0,26.0,-3177509,2023-02-08 01:39:14,2023-02-08 01:39:14,ZCMP,400.001,-3177509.0,HSM60,,-3177509,202370,MZZ,202370EOT,Z,151Q,5,M,L,UG,4,W,W,Unsuccessful,151Q,400,2424452_151Q_202370,30.0
85777,2424459,202370,-3177516,202370.0,Bachelor of Science,BUAC,College of Business,Business,N,UG,2023.0,6.0,3.48,,,,,,,-3177516,2023-06-08 01:33:21,2023-06-08 01:33:21,ZCMP,400.032,-3177516.0,HSM60,,-3177516,202370,MZZ,202370EOT,Z,161Q,18,M,L,UG,4,RW,F,Unsuccessful,161Q,400,2424459_161Q_202370,40.0
85778,2424476,202370,-3177533,202370.0,Bachelor of Science,PUSS,University College,Pre-University Studies,N,UG,,,2.3,,,,,,,-3177533,2023-06-30 01:32:31,2023-06-30 01:32:31,ZCMP,100.032,-3177533.0,HSM60,,-3177533,202370,MZZ,202370EOT,ZGC,090,924,M,L,UG,4,RE,B+*,Successful,Combo2,100,2424476_090_202370,10.0
